종목코드,회사명,배당기록
000180, 성창기업지주,2012 : -  2013 : -  2014 : -  2015 : 300  
152330, 코리아오토글라스,2012 : 1000  2013 : 1000  2014 : 500  2015 : 350  
115160, 휴맥스,2012 : 200  2013 : 150  2014 : 150  2015 : 150  
004780, 대륙제관,2012 : 50  2013 : 50  2014 : 60  2015 : 90  
001270, 부국증권,2013 : 500  2014 : 350  2014 : 1000  2015 : 1200  
025000, KPX케미칼,2012 : 3000  2013 : 1500  2014 : 1750  2015 : 1750  
117580, 대성에너지,2012 : 250  2013 : 250  2014 : 250  2015 : 250  
003690, 코리안리,2013 : 250  2013 : 185  2014 : 225  2015 : 350  
002360, SH에너지화학,2012 : -  2013 : 15  2014 : 45  2015 : 44  
052600, 한네트,2012 : 100  2013 : 110  2014 : 120  2015 : 120  
072470, 우리산업홀딩스,2012 : 30  2013 : 30  2014 : 30  2015 : 50  
005610, 삼립식품,2012 : 375  2013 : 663  2014 : 762  2015 : 869  
014570, 고려제약,2012 : 70  2013 : 60  2014 : 70  2015 : 70  
037230, 한국팩키지,2012 : 15  2013 : -  2014 : 15  2015 : 20  
064820, 소셜미디어99,2011 : 99  2012 : -  2013 : -  2014 : -  
200880, 서연이화,- : -  - : -  2014 : 150  2015 : 150  
084690, 대상홀딩스,2012 : 120  2013 : 120  2014 : 170  2015 : 170  
005860, 한일사료,2012 : 25  2013 : 25  2014 : 25  2015 : 25  
002350, 넥센타이어,2012 : 60  2013 : 65  2014 : 75  2015 : 80  
005620, 대성합동지주,2011 : 1000  2012 : 1000  2013 : -  2014 : -  
003200, 일신방직,2012 : 750  2013 : 2000  2014 : 1750  2015 : 2500  
115390, 락앤락,2012 : 80  2013 : 100  2014 : 150  2015 : 200  
003680, 한성기업,2011 : 250  2012 : -  2013 : -  2014 : -  
105330, 케이엔더블유,2011 : 100  2012 : -  2013 : -  2014 : 100  
